id_consumo,id_reserva,punto_venta,monto_neto,fecha_consumo
500000,100000,Bar,93.43622044460665,2021-01-01
500001,100000,Parking,33.92906368465881,2021-01-01
500002,100000,Parking,36.78980553363829,2021-01-01
500003,100001,Spa,12.896596289386196,2021-01-01
500004,100002,Parking,51.467332149493465,2021-01-01
500005,100003,Spa,99.55438510669443,2021-01-01
500006,100003,Bar,81.09394489502921,2021-01-01
500007,100004,Parking,26.46760450733825,2021-01-01
500008,100005,Restaurante,48.452247660853395,2021-01-01
500009,100005,Restaurante,23.59118056843956,2021-01-01
500010,100005,Parking,55.52805686758195,2021-01-01
500011,100006,Restaurante,80.89943320797116,2021-01-01
500012,100006,Spa,78.37254980199206,2021-01-01
500013,100007,Parking,44.59858597606446,2021-01-01
500014,100007,Spa,19.354179067507204,2021-01-01
500015,100008,Spa,54.48828232450537,2021-01-01
500016,100008,Spa,64.13811603675636,2021-01-01
500017,100008,Bar,65.17968363600308,2021-01-01
500018,100009,Spa,35.85392478925732,2021-01-02
500019,100009,Parking,14.101526945243828,2021-01-02
500020,100009,Bar,55.60094593963876,2021-01-02
500021,100010,Parking,75.09609535085347,2021-01-02
500022,100011,Parking,39.88677179632024,2021-01-02
500023,100012,Restaurante,48.584455826307654,2021-01-02
500024,100012,Restaurante,62.861916802419046,2021-01-02
500025,100013,Parking,85.46522727912733,2021-01-02
500026,100013,Restaurante,29.263572259296915,2021-01-02
500027,100014,Restaurante,91.28055545849227,2021-01-02
500028,100015,Bar,43.836499194521856,2021-01-02
500029,100015,Parking,36.13248215273758,2021-01-02
500030,100016,Spa,19.120193571933726,2021-01-02
500031,100016,Bar,38.088272431637385,2021-01-02
500032,100016,Restaurante,98.2480484159776,2021-01-02
500033,100017,Parking,34.17561613844194,2021-01-02
500034,100017,Restaurante,11.435111780797977,2021-01-02
500035,100017,Parking,60.48042794235195,2021-01-02
500036,100018,Parking,76.94028371303705,2021-01-02
500037,100018,Parking,78.09487207641928,2021-01-02
500038,100018,Restaurante,48.457543891104095,2021-01-02
500039,100019,Parking,84.70588349762014,2021-01-03
500040,100019,Restaurante,65.7179708746421,2021-01-03
500041,100020,Parking,35.49949647504638,2021-01-03
500042,100020,Spa,71.40037390353919,2021-01-03
500043,100020,Spa,52.266599257812864,2021-01-03
500044,100021,Restaurante,27.969371798408044,2021-01-03
500045,100021,Restaurante,14.412812172911302,2021-01-03
500046,100021,Spa,50.55610731131127,2021-01-03
500047,100022,Spa,75.43112092297515,2021-01-03
500048,100022,Spa,55.70650654458054,2021-01-03
500049,100022,Restaurante,25.02800940061094,2021-01-03
500050,100023,Parking,52.97716323291585,2021-01-03
500051,100023,Restaurante,50.79561817038924,2021-01-03
500052,100024,Spa,95.31648250762552,2021-01-03
500053,100024,Spa,26.777516968916622,2021-01-03
500054,100025,Parking,88.98235952800306,2021-01-03
500055,100025,Spa,97.4999233870305,2021-01-03
500056,100026,Bar,64.70916794861992,2021-01-03
500057,100026,Parking,62.5664718940393,2021-01-03
500058,100026,Parking,69.56394381901963,2021-01-03
500059,100027,Restaurante,55.54751190811813,2021-01-03
500060,100027,Bar,24.889747601698996,2021-01-03
500061,100028,Spa,86.56576161274336,2021-01-03
500062,100028,Spa,82.98377700655682,2021-01-03
500063,100029,Parking,18.3620495196733,2021-01-04
500064,100029,Restaurante,86.10788083476884,2021-01-04
500065,100030,Parking,90.45007864499723,2021-01-04
500066,100030,Restaurante,69.74438152802617,2021-01-04
500067,100031,Bar,98.01204063316248,2021-01-04
500068,100032,Spa,69.13007979683934,2021-01-04
500069,100032,Bar,52.20036869579055,2021-01-04
500070,100032,Restaurante,39.93364759563707,2021-01-04
500071,100033,Parking,50.03463318381631,2021-01-04
500072,100033,Bar,84.93863520273763,2021-01-04
500073,100034,Spa,67.69380864411048,2021-01-04
500074,100035,Bar,18.1948465278518,2021-01-04
500075,100036,Bar,52.245494067819614,2021-01-04
500076,100036,Bar,99.10777371211742,2021-01-04
500077,100037,Bar,96.20318644780221,2021-01-05
500078,100037,Spa,32.8761166819237,2021-01-05
500079,100037,Bar,41.85960125902,2021-01-05
500080,100038,Restaurante,43.65732333495993,2021-01-05
500081,100039,Restaurante,80.23044228626414,2021-01-05
500082,100039,Bar,11.553488694751607,2021-01-05
500083,100040,Spa,87.53031292639133,2021-01-05
500084,100041,Restaurante,22.321126512765346,2021-01-05
500085,100042,Spa,41.77730416607794,2021-01-05
500086,100042,Spa,66.76184694810848,2021-01-05
500087,100043,Spa,58.93540613471483,2021-01-05
500088,100043,Parking,20.801165997320265,2021-01-05
500089,100043,Restaurante,57.46541626790625,2021-01-05
500090,100044,Restaurante,79.31435707775373,2021-01-05
500091,100044,Restaurante,15.506189282656589,2021-01-05
500092,100044,Parking,31.911072199479783,2021-01-05
500093,100045,Parking,91.56667617164447,2021-01-05
500094,100045,Spa,63.6810495676555,2021-01-05
500095,100046,Parking,51.01546606122217,2021-01-06
500096,100046,Parking,44.08071946359261,2021-01-06
500097,100047,Bar,59.37745525260194,2021-01-06
500098,100047,Restaurante,13.56138656302184,2021-01-06
500099,100047,Spa,92.36743402821098,2021-01-06
500100,100048,Spa,31.45531979701088,2021-01-06
500101,100048,Parking,45.165615058872014,2021-01-06
500102,100048,Spa,10.36545276581881,2021-01-06
500103,100049,Parking,67.7812226207717,2021-01-06
500104,100049,Restaurante,29.93067463840385,2021-01-06
500105,100050,Restaurante,26.955368416321644,2021-01-06
500106,100050,Bar,14.74058405849058,2021-01-06
500107,100050,Restaurante,51.153472413263856,2021-01-06
500108,100051,Spa,28.826402762212663,2021-01-06
500109,100051,Spa,47.66647479874155,2021-01-06
500110,100052,Bar,77.57107074536573,2021-01-06
500111,100052,Parking,22.291023403297036,2021-01-06
